"submission_id","survey_id","landing_date","sample_district","landing_site","lat","lon","n_fishers","n_boats","trip_length","gear","catch_usage","catch_taxon","catch_price","catch_kg","price_kg","landing_year","landing_month","landing_day","landing_weekday","fishing_season","week_number"
371624779,"371624779-1-1",2024-08-13,"Salima","Nguwo",-13.7290705,34.6209881,NA,NA,5,"Chilimira","trade","ndunduma",105,35,2857.142857143,2024,"Aug",13,"Tue","Low",33
371624788,"371624788-1-1",2024-08-13,"Salima","Nguwo",-13.728827,34.6212876,10,10,4,"Chilimira","trade","ndunduma",125000,50,NA,2024,"Aug",13,"Tue","Low",33
371624788,"371624788-1-2",2024-08-13,"Salima","Nguwo",-13.728827,34.6212876,10,10,4,"Chilimira","trade","usipa",25000,35,714.285714286,2024,"Aug",13,"Tue","Low",33
371624788,"371624788-2-1",2024-08-13,"Salima","Nguwo",-13.728827,34.6212876,10,10,6,"Chilimira","trade","ndunduma",490000,75,6533.333333333,2024,"Aug",13,"Tue","Low",33
371624788,"371624788-2-2",2024-08-13,"Salima","Nguwo",-13.728827,34.6212876,NA,10,6,"Chilimira","trade","ndunduma",42000,20,2100,2024,"Aug",13,"Tue","Low",33
371624788,"371624788-3-1",2024-08-13,"Salima","Nguwo",-13.728827,34.6212876,10,10,8,"Chilimira","trade","ndunduma",155000,NA,3444.444444444,2024,"Aug",13,"Tue","Low",33
371624788,"371624788-4-1",2024-08-13,"Salima","Nguwo",-13.728827,34.6212876,NA,10,5,"Chilimira","trade","ndunduma",315000,150,2100,2024,"Aug",13,"Tue","Low",33
371624788,"371624788-4-2",2024-08-13,"Salima","Nguwo",-13.728827,34.6212876,10,10,NA,"Chilimira","trade","mcheni",150000,30,5000,2024,"Aug",13,"Tue","Low",33
371624788,"371624788-5-1",2024-08-13,"Salima","Nguwo",-13.728827,34.6212876,10,10,5,"Chilimira","trade","ndunduma",50000,20,2500,2024,"Aug",13,"Tue","Low",33
371624788,"371624788-5-2",2024-08-13,"Salima","Nguwo",-13.728827,34.6212876,NA,10,5,"Chilimira","trade","usipa",60000,NA,2000,2024,"Aug",13,"Tue","Low",33
371624802,"371624802-1-1",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,10,10,NA,"Chilimira","trade","ndunduma",88000,45,1955.555555556,2024,"Aug",14,"Wed","Low",33
371624802,"371624802-2-1",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,10,10,8,"Chilimira","trade","ndunduma",22000,10,2200,2024,"Aug",14,"Wed","Low",33
371624802,"371624802-2-2",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,10,10,8,"Chilimira","trade","usipa",22000,10,2200,2024,"Aug",14,"Wed","Low",33
371624802,"371624802-3-1",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,10,10,9,"Chilimira","trade","ndunduma",305,150,2000,2024,"Aug",14,"Wed","Low",33
371624802,"371624802-4-1",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,10,10,8,"Chilimira","trade","ndunduma",250000,50,5000,2024,"Aug",14,"Wed","Low",33
371624802,"371624802-5-1",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,NA,NA,NA,"Chilimira",NA,"ndunduma",330000,150,2200,2024,"Aug",14,"Wed","Low",33
371624802,"371624802-6-1",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,10,10,9,"Chilimira","trade","ndunduma",105,30,3333.333333333,2024,"Aug",14,"Wed","Low",33
371624802,"371624802-6-2",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,10,10,9,"Chilimira","trade","usipa",22000,NA,2200,2024,"Aug",14,"Wed","Low",33
371624802,"371624802-7-1",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,10,10,8,"Chilimira","trade","ndunduma",370000,160,2312.5,2024,"Aug",14,"Wed","Low",33
371624802,"371624802-7-2",2024-08-14,"Salima","Nguwo",-13.7284082,34.6216034,10,10,8,"Chilimira","trade","usipa",22000,10,2200,2024,"Aug",14,"Wed","Low",33
372010345,"372010345-1-1",2024-08-15,"Salima","Nguwo",-13.7283762,34.6216206,10,10,8,"Chilimira","trade","ndunduma",44000,20,2200,2024,"Aug",15,"Thu","Low",33
372010345,"372010345-1-2",2024-08-15,"Salima","Nguwo",-13.7283762,34.6216206,NA,10,8,"Chilimira","trade","usipa",23000,10,2300,2024,"Aug",15,"Thu","Low",33
372010345,"372010345-2-1",2024-08-15,"Salima","Nguwo",-13.7283762,34.6216206,10,10,8,"Chilimira","trade","ndunduma",105,40,2500,2024,"Aug",15,"Thu","Low",33
372010345,"372010345-2-2",2024-08-15,"Salima","Nguwo",-13.7283762,34.6216206,10,10,8,"Chilimira","trade","usipa",220000,10,NA,2024,"Aug",15,"Thu","Low",33
372010345,"372010345-3-1",2024-08-15,"Salima","Nguwo",-13.7283762,34.6216206,10,10,11,"Chilimira","trade","usipa",80000,40,2000,2024,"Aug",15,"Thu","Low",33
372010345,"372010345-4-1",2024-08-15,"Salima","Nguwo",-13.7283762,34.6216206,10,10,9,"Chilimira","trade","usipa",305,15,NA,2024,"Aug",15,"Thu","Low",33
372010345,"372010345-5-1",2024-08-15,"Salima","Nguwo",-13.7283762,34.6216206,10,10,9,"Chilimira","trade","ndunduma",160000,80,2000,2024,"Aug",15,"Thu","Low",33
374430050,"374430050-1-1",2024-08-21,"Salima","Nguwo",-13.7284485,34.621716,10,10,8,"Chilimira","trade","ndunduma",150000,140,1071.428571429,2024,"Aug",21,"Wed","Low",34
