submission_id,survey_id,landing_date,sample_district,landing_site,lat,lon,n_fishers,n_boats,trip_length,gear,catch_usage,catch_taxon,catch_price,catch_kg,price_kg
371624779,371624779-1-1,2024-08-13T00:00:00Z,Salima,Nguwo,-13.7290705,34.6209881,,,5,Chilimira,trade,Ndunduma,1e+05,35,2857.142857143
371624788,371624788-1-1,2024-08-13T00:00:00Z,Salima,Nguwo,-13.728827,34.6212876,10,10,4,Chilimira,trade,ndunduma,125000,50,
371624788,371624788-1-2,2024-08-13T00:00:00Z,Salima,Nguwo,-13.728827,34.6212876,10,10,4,Chilimira,trade,usipa,25000,35,714.285714286
371624788,371624788-2-1,2024-08-13T00:00:00Z,Salima,Nguwo,-13.728827,34.6212876,10,10,6,Chilimira,trade,ndunduma,490000,75,6533.333333333
371624788,371624788-2-2,2024-08-13T00:00:00Z,Salima,Nguwo,-13.728827,34.6212876,100,10,6,Chilimira,TRADE,ndunduma,42000,20,2100
371624788,371624788-3-1,2024-08-13T00:00:00Z,Salima,Nguwo,-13.728827,34.6212876,10,10,8,Chilimira,Trade,ndunduma,155000,,3444.444444444
371624788,371624788-4-1,2024-08-13T00:00:00Z,Salima,Nguwo,-13.728827,34.6212876,,10,5,Chilimira,trade,NDUNDUMA,315000,150,2100
371624788,371624788-4-2,2024-08-13T00:00:00Z,Salima,Nguwo,-13.728827,34.6212876,10,10,,Chilimira,trade,mcheni,150000,30,5000
371624788,371624788-5-1,2024-08-13T00:00:00Z,Salima,Nguwo,-13.728827,34.6212876,10,10,5,Chilimira,trade,NDUNDUMA,50000,20,2500
371624788,371624788-5-2,2024-08-13T00:00:00Z,Salima,Nguwo,-13.728827,34.6212876,,10,5,Chilimira,trade,usipa,60000,30000,2000
371624802,371624802-1-1,2024-08-14T00:00:00Z,Salima,Nguwo,-13.7284082,34.6216034,10,10,,Chilimira,trade,Ndunduma,88000,45,1955.555555556
371624802,371624802-2-1,2024-08-14T00:00:00Z,Salima,Nguwo,-13.7284082,34.6216034,10,10,8,Chilimira,TRADE,NDUNDUMA,22000,10,2200
371624802,371624802-2-2,2024-08-14T00:00:00Z,Salima,Nguwo,-13.7284082,34.6216034,10,10,8,Chilimira,trade,Usipa,22000,10,2200
371624802,371624802-3-1,2024-08-14T00:00:00Z,Salima,Nguwo,-13.7284082,34.6216034,10,10 boats,9,Chilimira,trade,ndunduma,3e+05,150,2000
371624802,371624802-4-1,2024-08-14T00:00:00Z,Salima,Nguwo,-13.7284082,34.6216034,10,10,8,Chilimira,Trade,NDUNDUMA,250000,50,5000
371624802,371624802-5-1,2024-08-14T00:00:00Z,Salima,Nguwo,-13.7284082,34.6216034,,,,Chilimira,trad,ndunduma,330000,150,2200
